,b_num,b_size_max,b_size_mean,b_size_min,b_size_std,b_size_sum,b_time_max,b_time_mean,b_time_min,b_time_std,class,f_num,f_size_max,f_size_mean,f_size_min,f_size_std,f_size_sum,f_time_max,f_time_mean,f_time_min,f_time_std,f_ttl_mean,t_num,t_size_max,t_size_mean,t_size_min,t_size_var
0,87,1414,1121.18390805,60,521.31402688,97543,45.0943570137,2.21835548656,1.69277191162e-05,9.58274276658,6,50,571,74.76,54,90.9591879776,3738,45.0916249752,3.8934537148,8.70227813721e-05,12.4804851732,128.0,137,1414,739.277372263,54,430483.996028
1,24,1414,1043.70833333,60,572.346009604,25049,6.92811083794,0.312299863152,9.53674316406e-07,1.442469417,4,24,571,91.4583333333,54,114.764401073,2195,89.5376970768,5.0319292649,9.79900360107e-05,18.5933182656,128.0,48,1414,567.583333333,54,398268.716312
2,86,1147,403.337209302,60,427.230991673,34687,67.4065670967,3.03328243424,0.0,9.08162505491,4,78,1227,533.166666667,54,503.156514769,41587,67.3327009678,3.34940362596,4.10079956055e-05,9.4654463582,128.0,164,1227,465.085365854,54,219006.103097
3,12,1414,440.666666667,66,544.396969689,5288,0.0919690132141,0.0237783518705,1.00135803223e-05,0.0405173925283,3,17,567,125.411764706,66,125.198871213,2132,0.0855741500854,0.0212212502956,1.59740447998e-05,0.0360173638162,64.0,29,1414,255.862068966,66,150356.123153
4,156,1147,419.493589744,60,432.702169743,65441,30.273141861,2.51968088919,0.0,6.41650726796,4,133,1867,575.330827068,54,520.902665278,76519,30.1971259117,2.95872138666,4.91142272949e-05,6.82980701158,128.0,289,1867,491.211072664,54,231184.555988
5,12,1414,473.833333333,66,572.558982009,5686,7.005204916,0.656293370507,1.50203704834e-05,2.10593674057,0,11,445,134.090909091,66,123.112513211,1475,7.00528120995,0.723197984695,8.82148742676e-06,2.20757809081,64.0,23,1414,311.347826087,66,200912.146245
6,11,1466,536.0,60,598.160346396,5896,0.205965995789,0.102414512634,1.8835067749e-05,0.10742691983,1,12,1414,249.333333333,66,397.423596621,2992,0.206377029419,0.0932134714994,1.90734863281e-06,0.106664743462,64.0,23,1466,386.434782609,60,263044.893281
7,269,1414,594.26394052,60,652.156738383,159857,59.7689330578,0.279256145456,2.28881835938e-05,3.70243671118,6,137,63974,2659.2919708,54,5913.31394616,364323,10.0888230801,0.112292934867,2.69412994385e-05,0.869144815615,128.0,406,63974,1291.08374384,54,12979286.8769
8,106,1414,389.132075472,60,437.79786759,41248,61.6035840511,2.15281250363,9.53674316406e-07,6.74181427298,4,100,1547,566.73,54,495.663922778,56673,61.5224759579,2.28409210118,0.000154972076416,6.89866690902,128.0,206,1547,475.344660194,54,224734.665996
9,23,2114,310.086956522,66,583.287151569,7132,45.0562489033,10.9196870869,6.91413879395e-06,19.1973486645,0,19,483,113.105263158,66,104.585900227,2149,45.0560500622,13.3464613358,6.19888305664e-06,20.5229576225,64.0,42,2114,220.976190476,66,197208.218931
10,22,1414,307.045454545,66,457.338415626,6755,45.1040811539,11.4432149955,4.05311584473e-06,19.5253036999,1,21,381,116.761904762,66,98.5950834281,2452,45.1039979458,12.0153898478,0.000157117843628,19.8543691603,64.0,43,1414,214.11627907,66,118470.724252
11,57,1474,856.947368421,60,668.115725141,48846,10.0105957985,2.07412010431,9.53674316406e-07,4.0242203191,5,31,571,87.2903225806,54,109.87119536,2706,10.0102958679,3.87437930107,5.91278076172e-05,4.8469897184,128.0,88,1474,585.818181818,54,428205.897597
12,124,1414,414.185483871,60,435.259223144,51359,69.7687351704,3.98317902456,0.0,10.623129885,4,109,1227,560.055045872,54,504.324738027,61046,69.6930670738,4.53710661994,4.60147857666e-05,11.2008631273,128.0,233,1414,482.424892704,54,224163.004033
13,162,1414,447.827160494,60,472.836315358,72548,27.8612129688,1.84732564636,0.0,4.80760630536,4,148,1867,560.75,54,514.309481924,82991,27.7797510624,2.02326841581,5.57899475098e-05,4.9664717083,128.0,310,1867,501.738709677,54,245518.666134
14,5,216,117.2,66,59.9099323986,586,0.0773251056671,0.0377667546272,1.4066696167e-05,0.0435314554391,0,7,583,167.714285714,66,195.747042792,1174,9.89442014694,1.69319383303,0.000411033630371,4.01799404879,64.0,12,583,146.666666667,66,22881.8787879
15,23,2114,298.47826087,66,583.267509932,6865,45.0561060905,10.9185885408,3.09944152832e-06,19.1980493395,0,19,468,119.473684211,66,111.853261226,2270,45.0560419559,13.3449629413,5.00679016113e-06,20.5240584984,64.0,42,2114,217.5,66,196171.182927
16,97,1414,434.670103093,60,451.257772824,42163,30.2156238556,2.28569769611,0.0,6.01497192984,4,86,2091,560.279069767,54,529.707392061,48184,30.1345770359,2.58243533022,5.19752502441e-05,6.30465965853,128.0,183,2091,493.699453552,54,242407.606978
17,144,1414,464.902777778,60,467.468204213,66946,40.8119859695,3.09973669886,0.0,7.01273539052,4,150,1723,570.94,54,504.82835451,85641,40.5584590435,2.97491960398,5.60283660889e-05,6.79869345251,128.0,294,1723,519.003401361,54,239072.604084
18,6041,1414,1409.10743254,60,75.0678360726,8512418,30.0726239681,0.0100308998136,8.82148742676e-06,0.47525771322,3,1868,1350,79.528372591,66,107.012479928,148559,30.0727210045,0.0324511959646,7.15255737305e-06,0.85429635818,64.0,7909,1414,1095.07864458,60,325960.031751
19,93,1414,1203.23655914,60,465.407194266,111901,45.0944240093,2.00510082556,0.0,9.24364656249,6,49,571,75.4285714286,54,92.8365499144,3696,45.094080925,3.84313151737,0.000289916992188,12.5721864256,128.0,142,1414,814.063380282,54,433759.733543
20,159,1414,421.534591195,60,440.118996853,67024,29.970402956,2.34257993064,9.53674316406e-07,6.03101792674,4,133,1835,580.781954887,54,519.297257349,77244,29.8965778351,2.80400325674,0.000141143798828,6.47262781431,128.0,292,1835,494.068493151,54,233808.668832
21,161,1414,441.900621118,60,471.433879311,71146,30.2951061726,2.29642002583,9.53674316406e-07,5.67204532175,4,152,1227,536.111842105,54,492.339872773,81489,30.2134070396,2.43329536994,8.10623168945e-06,5.77946386998,128.0,313,1414,487.651757188,54,233513.202056
22,30,1414,270.066666667,60,412.912442362,8102,45.0926940441,8.28938793314,3.00407409668e-05,17.300278348,6,25,329,99.52,54,83.4975648348,2488,45.1307170391,10.016395996,7.20024108887e-05,18.6164141003,128.0,55,1414,192.545454545,54,102006.622896
23,107,1414,1200.18691589,66,471.048852389,128420,0.0804378986359,0.00396889560627,3.79085540771e-05,0.014476928535,3,96,1414,176.010416667,66,330.298668506,16897,0.0756251811981,0.00443893482811,1.00135803223e-05,0.0156026987808,64.0,203,1414,715.84729064,66,430502.625079
24,14,1414,449.142857143,60,492.015455846,6288,7.0048520565,0.566616150049,9.53674316406e-07,1.93491727218,4,21,587,156.714285714,54,199.382582704,3291,88.8405950069,5.76113425493,0.0001540184021,19.7363377214,128.0,35,1414,273.685714286,54,137071.163025
25,148,1414,499.689189189,60,488.97449054,73954,18.0112409592,1.95841903427,0.0,4.30818274724,4,152,1211,530.111842105,54,485.743242199,80577,17.7403581142,1.90654632429,9.20295715332e-05,4.15187505245,128.0,300,1414,515.103333333,54,236937.939119
26,157,1131,409.152866242,60,428.508910921,64237,30.4087700844,2.56660459592,0.0,6.42444750949,4,136,1835,555.242647059,54,513.394130546,75513,30.1518959999,2.96585435691,1.59740447998e-05,6.73859177341,128.0,293,1835,476.962457338,54,225282.248586
27,159,1414,428.641509434,60,447.681527895,68154,30.2286567688,2.27129069612,0.0,5.91356026287,4,131,2107,584.557251908,54,525.862049186,76577,30.1429700851,2.76050009177,1.69277191162e-05,6.38569507315,128.0,290,2107,499.072413793,54,240004.164288
28,23,1414,1017.43478261,60,583.368963715,23401,6.92905592918,0.32672540708,9.53674316406e-07,1.47494295307,4,22,571,104.318181818,54,139.562372594,2295,101.378692865,6.07641590209,0.000294208526611,21.9925657532,128.0,45,1414,571.022222222,54,392533.431313
29,152,1414,646.605263158,66,613.292570415,98284,123.958317041,1.08588606001,1.00135803223e-05,10.401002718,3,133,1414,228.353383459,66,365.641449549,30371,123.927996159,1.24220116572,1.19209289551e-05,11.1183953237,64.0,285,1414,451.421052632,66,305815.336175
30,7020,1414,77.3407407407,60,55.2140790175,542932,45.0938410759,0.805212991294,1.90734863281e-06,4.27484104032,6,11398,1414,987.344885068,54,574.535300527,11253757,45.0918200016,0.495901606632,1.90734863281e-06,3.36545529717,128.0,18418,1414,640.497828212,54,400772.088528
31,100,1414,482.83,60,476.877746335,48283,61.1418368816,3.21203225309,9.53674316406e-07,8.05484129374,4,102,1931,561.176470588,54,504.236515535,57240,60.930147171,3.15054072248,0.00037693977356,7.8942987551,128.0,202,1931,522.391089109,54,241310.816438
32,20,1466,308.35,66,490.930081312,6167,45.168006897,12.6441721665,2.14576721191e-06,20.1921673168,0,20,273,92.2,66,55.1444037338,1844,45.1680109501,12.6442090461,5.00679016113e-06,20.194700838,64.0,40,1466,200.275,66,130877.435256
33,32,2114,252.53125,66,505.702129868,8081,45.1161711216,7.76420929355,1.90734863281e-06,16.8313279898,0,27,1414,186.0,66,283.005572111,5022,45.1159510612,9.257367345,4.05311584473e-06,18.0441800068,64.0,59,2114,222.084745763,66,173706.734074
34,158,1147,404.53164557,60,426.394447791,63916,30.0021698475,2.56390075775,0.0,6.38869203134,4,135,1867,581.148148148,54,512.797354851,78455,29.925962925,3.00397285775,9.58442687988e-05,6.79214838511,128.0,293,1867,485.907849829,54,226205.981205
35,159,1414,436.899371069,60,449.82248531,69467,30.2305369377,2.46431990515,0.0,6.31513631753,4,138,1915,563.014492754,54,520.818418075,77696,30.1522190571,2.84213829911,5.41210174561e-05,6.67374924747,128.0,297,1915,495.498316498,54,237521.304896
36,712,1414,1221.01966292,66,425.390608495,869366,236.500158072,0.340061387935,5.96046447754e-06,8.86961280705,3,512,583,88.6171875,66,93.7998761651,45372,236.492331982,0.473146438599,5.96046447754e-06,10.4618832781,64.0,1224,1414,747.33496732,66,421156.635048
37,66,1414,848.560606061,60,603.226507497,56005,68.1894609928,1.16639981637,9.53674316406e-07,8.4531908126,4,44,1643,326.318181818,54,502.536624732,14358,68.1130959988,1.76500069818,5.10215759277e-05,10.3703497889,128.0,110,1643,639.663636364,54,382678.5005
38,159,1414,416.20754717,60,436.901360062,66177,30.1759159565,2.53342855128,9.53674316406e-07,6.22244542444,4,146,1915,535.554794521,54,516.931036964,78191,30.0912828445,2.76056779335,6.29425048828e-05,6.41520954268,128.0,305,1915,473.337704918,54,230230.796764
39,45,1414,785.622222222,66,625.429244922,35353,239.928457022,5.46072886207,2.40802764893e-05,36.1693757281,3,36,599,114.916666667,66,123.91411196,4137,239.981911898,6.8649447373,1.28746032715e-05,40.5629058887,64.0,81,1414,487.530864198,66,334318.12716
40,8,1414,581.5,60,600.627053289,4652,60.10435009,8.66968427386,0.000104904174805,22.6807015575,6,11,1243,304.181818182,54,459.505999565,3346,59.9416429996,6.07975101471,0.000558137893677,18.9251918147,128.0,19,1414,420.947368421,54,277384.497076
41,85,1414,414.235294118,60,448.94165617,35210,69.002779007,2.85440429619,9.53674316406e-07,9.08599439813,4,78,1227,526.807692308,54,498.736665224,41091,68.9191598892,3.11501560892,9.10758972168e-05,9.42481256099,128.0,163,1414,468.104294479,54,225915.945846
42,51,1414,661.137254902,60,623.845750794,33718,10.0946018696,2.70370274067,9.53674316406e-07,4.41411197634,5,30,396,113.5,54,122.447666513,3405,10.0938539505,4.66420355336,3.00407409668e-05,4.94679647368,128.0,81,1414,458.308641975,54,319486.091049
43,9,1414,567.0,66,571.056477067,5103,0.0739321708679,0.0409981310368,8.10623168945e-06,0.0350380361033,1,11,756,161.0,66,210.144236181,1771,0.106227874756,0.0329659938812,0.000162124633789,0.0422157284199,64.0,20,1414,343.7,66,203494.115789
44,10841,4110,1685.68499216,66,553.875622907,18274511,30.0527698994,0.0140149686389,3.81469726562e-06,0.438380081301,1,6417,1368,70.737104566,66,71.0598465498,453920,30.0910420418,0.023678741736,5.00679016113e-06,0.569144214108,64.0,17258,4110,1085.20286244,66,803784.223259
45,113,1474,1122.46017699,60,570.709756034,126838,10.0149021149,1.03673325905,9.53674316406e-07,3.01578370564,5,41,571,79.1707317073,54,96.2457537866,3246,10.0151450634,2.90492072701,0.000108957290649,4.50753980762,128.0,154,1474,844.701298701,54,454872.393855
46,56,1474,868.482142857,60,661.914797897,48635,10.0076420307,2.11135043664,9.53674316406e-07,4.05037291043,5,31,571,87.2903225806,54,109.87119536,2706,10.0074241161,3.87334933281,0.000176906585693,4.84596813669,128.0,87,1474,590.126436782,54,426006.065223
47,407,1414,1327.64127764,60,305.45720245,540350,45.0836720467,0.477628638004,2.00271606445e-05,4.47632359454,6,247,571,69.1255060729,54,70.4691337987,17074,45.0837421417,0.788283865626,4.31537628174e-05,5.73314281483,128.0,654,1414,852.330275229,54,432718.129649
48,118,1414,546.177966102,60,453.821393222,64449,38.2923121452,3.59272098134,9.53674316406e-07,7.96853252463,4,139,1339,562.388489209,54,506.94326228,78172,38.0411200523,3.04600641347,5.29289245605e-05,7.34874483766,128.0,257,1414,554.945525292,54,232727.325146
49,31,1414,967.35483871,66,600.240593339,29988,0.0895409584045,0.0115367333094,3.60012054443e-05,0.0293727945196,3,31,647,103.548387097,66,109.601045831,3210,0.0818469524384,0.0115081310272,1.50203704834e-05,0.0278499946468,64.0,62,1414,535.451612903,66,372697.366473
50,20,1414,487.45,66,539.122920756,9749,0.0699069499969,0.0146268417961,2.19345092773e-05,0.0251576911265,3,17,583,125.882352941,66,128.234590864,2140,0.0834128856659,0.0173948705196,1.19209289551e-05,0.0326653108821,64.0,37,1414,321.324324324,66,194078.780781
51,20,2762,703.25,66,1015.49401382,14065,10.0997731686,3.4320833683,1.69277191162e-05,4.74735018417,0,20,583,119.55,66,150.131687808,2391,10.1000058651,3.43210605571,6.19888305664e-05,4.73825211296,64.0,40,2762,411.4,66,600734.4
52,20,1414,464.1,66,539.073464381,9282,0.0791110992432,0.0148834178322,1.90734863281e-05,0.0258577107207,3,18,615,128.222222222,66,131.422334728,2308,0.0932140350342,0.0165608770707,1.4066696167e-05,0.0329422623171,64.0,38,1414,305.0,66,186048.324324
53,363,3693,941.20661157,60,717.513465529,341658,58.6605701447,0.20435041749,9.53674316406e-07,3.0885213578,0,199,1414,126.608040201,66,185.063180955,25195,58.6533520222,0.373661378417,9.53674316406e-07,4.17328086352,64.0,562,3693,652.763345196,60,496328.883289
